ba,nercr,transreg,transgrp,cendiv,st,h2ptcreg,interconnect,st_interconnect,country,aggreg
p185,nrn27,MEX,MEX,MEX,GRO_MIC,,mexico,GRO_MIC,MEX,MEX
p186,nrn27,MEX,MEX,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,,mexico,AGU_GUA_JAL_NAY_QUE_ZAC,MEX,MEX
p187,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p188,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p189,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p190,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p191,nrn27,MEX,MEX,MEX,GRO_MIC,,mexico,GRO_MIC,MEX,MEX
p192,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p193,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p194,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,,mexico,CAM_CHP_TAB,MEX,MEX
p195,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,,mexico,CAM_CHP_TAB,MEX,MEX
p196,nrn27,MEX,MEX,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,,mexico,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,MEX,MEX
p197,nrn27,MEX,MEX,MEX,CAM_CHP_TAB,,mexico,CAM_CHP_TAB,MEX,MEX
p198,nrn27,MEX,MEX,MEX,YUC,,mexico,YUC,MEX,MEX
p199,nrn27,MEX,MEX,MEX,ROO,,mexico,ROO,MEX,MEX
p200,nrn27,MEX,MEX,MEX,ROO,,mexico,ROO,MEX,MEX
p201,nrn27,MEX,MEX,MEX,BCN,,mexico,BCN,MEX,MEX
p202,nrn27,MEX,MEX,MEX,BCN,,mexico,BCN,MEX,MEX
p203,nrn27,MEX,MEX,MEX,BCN,,mexico,BCN,MEX,MEX
p204,nrn27,MEX,MEX,MEX,BCN,,mexico,BCN,MEX,MEX
p205,nrn27,MEX,MEX,MEX,BCS,,mexico,BCS,MEX,MEX
