Scenario,Class,SubClass,Resource,Model,Fips Code,County,State,Sqmi,Land Source,Price Offered,Production,Production Unit,Production Energy Content,Energy Content Unit,Production Density per Sq Mile,BTU/Ton,USDA Region
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,31077,Greeley County,Nebraska,570.66,Crop,70,0,dt,0,BTU,0,14892000,Northern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,22115,Vernon Parish,Louisiana,1340.29,Crop,40,6.2,dt,107681600,BTU,0,17368000,Delta States
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,27053,Hennepin County,Minnesota,606.79,Crop,70,10944,dt,1.72062E+11,BTU,18.04,15722000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,42033,Clearfield County,Pennsylvania,1154.57,Crop,40,24.9,dt,432463200,BTU,0.02,17368000,Northeast
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,26133,Osceola County,Michigan,573.01,Crop,70,25045,dt,3.93757E+11,BTU,43.71,15722000,Lake States
near-term,agriculture land,Agricultural residues,Oats straw,POLYSYS,26051,Gladwin County,Michigan,515.95,Crop,70,0,dt,0,BTU,0,14892000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,34027,Morris County,New Jersey,481.52,Crop,40,79.1,dt,1373808800,BTU,0.16,17368000,Northeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,12105,Polk County,Florida,2010.41,Crop,40,1114.8,dt,19361846399,BTU,0.55,17368000,Southeast
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,48123,DeWitt County,Texas,910.49,Crop,48,218.3,dt,3081959400,BTU,0.24,14118000,Southern Plains
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,01049,DeKalb County,Alabama,778.66,Crop,40,70.7,dt,1227917600,BTU,0.09,17368000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21169,Metcalfe County,Kentucky,291.19,Crop,40,31.5,dt,547092000,BTU,0.11,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,47109,McNairy County,Tennessee,563.61,Crop,40,7.3,dt,126786400,BTU,0.01,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,18173,Warrick County,Indiana,391.05,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,39145,Scioto County,Ohio,616.36,Crop,70,0,dt,0,BTU,0,14892000,Corn Belt
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,28043,Grenada County,Mississippi,449.4,Crop,70,0,dt,0,BTU,0,14892000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,06045,Mendocino County,California,3513.13,Crop,40,38.5,dt,668668000,BTU,0.01,17368000,Pacific
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,48097,Cooke County,Texas,898.5,Crop,48,24.7,dt,348714600,BTU,0.03,14118000,Southern Plains
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,48501,Yoakum County,Texas,799.72,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,Rice straw,POLYSYS_NAS,06101,Sutter County,California,608.41,Crop,60,83847.8,dt,1.24866E+12,BTU,137.81,14892000,Pacific
near-term,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,13125,Glascock County,Georgia,144.45,Crop,48,545.3,dt,7698545399,BTU,3.78,14118000,Southeast
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,37147,Pitt County,North Carolina,655.15,Crop,60,1805.2,dt,26883038399,BTU,2.76,14892000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,21067,Fayette County,Kentucky,285.54,Crop,40,4.1,dt,71208800,BTU,0.01,17368000,Appalachia
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,30069,Petroleum County,Montana,1674.52,Crop,70,0,dt,0,BTU,0,15722000,Mountain States
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,42001,Adams County,Pennsylvania,521.69,Crop,40,21246.9,dt,3.69016E+11,BTU,40.73,17368000,Northeast
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,48159,Franklin County,Texas,294.77,Crop,40,86.3,dt,1498858400,BTU,0.29,17368000,Southern Plains
near-term,agriculture land,Agricultural residues,Sorghum stubble,POLYSYS,40045,Ellis County,Oklahoma,1231.85,Crop,70,0,dt,0,BTU,0,14830000,Southern Plains
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,27033,Cottonwood County,Minnesota,648.56,Crop,70,130808,dt,2.05656E+12,BTU,201.69,15722000,Lake States
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,01105,Perry County,Alabama,723.88,Crop,40,14.6,dt,253572800,BTU,0.02,17368000,Southeast
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,29213,Taney County,Missouri,651.62,Crop,40,5.2,dt,90313600,BTU,0.01,17368000,Corn Belt
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,28053,Humphreys County,Mississippi,431.23,Crop,60,2053.2,dt,30576254399,BTU,4.76,14892000,Southeast
near-term,agriculture land,Agricultural residues,Corn stover,POLYSYS,51109,Louisa County,Virginia,509.65,Crop,70,4371,dt,68720862000,BTU,8.58,15722000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, tree nuts",NASS 2017 Census,54077,Preston County,West Virginia,651.39,Crop,40,9.1,dt,158048800,BTU,0.01,17368000,Appalachia
near-term,agriculture land,Agricultural residues,"Pruning residues, noncitrus",NASS 2017 Census,29001,Adair County,Missouri,569.44,Crop,40,21.4,dt,371675200,BTU,0.04,17368000,Corn Belt
near-term,agriculture land,Agricultural residues,Wheat straw,POLYSYS,48379,Rains County,Texas,258.83,Crop,70,0,dt,0,BTU,0,14892000,Southern Plains
near-term,agriculture land,Agricultural residues,Cotton field residues,POLYSYS_NAS,01105,Perry County,Alabama,723.88,Crop,60,226.9,dt,3378994799,BTU,0.31,14892000,Southeast
